DATAS,NUMEROS
23-DEC-22,2560
24-DEC-22,1
26-DEC-22,4188
27-DEC-22,5054
28-DEC-22,5007
29-DEC-22,4367
30-DEC-22,2972
31-DEC-22,3
02-JAN-23,2120
03-JAN-23,3239
04-JAN-23,3631
05-JAN-23,3499
06-JAN-23,2995
07-JAN-23,1222
08-JAN-23,2
09-JAN-23,2759
10-JAN-23,3213
11-JAN-23,3057
12-JAN-23,2024
13-JAN-23,2602
14-JAN-23,955
15-JAN-23,1
16-JAN-23,2488
17-JAN-23,3583
18-JAN-23,3505
19-JAN-23,2706
20-JAN-23,2517
21-JAN-23,8
23-JAN-23,2665
24-JAN-23,3422
25-JAN-23,2913
26-JAN-23,2383
27-JAN-23,2369
28-JAN-23,1
29-JAN-23,2
30-JAN-23,2465
31-JAN-23,2445
01-FEB-23,2075
02-FEB-23,1644
03-FEB-23,2075
04-FEB-23,20
05-FEB-23,3
06-FEB-23,2603
07-FEB-23,2829
08-FEB-23,2594
09-FEB-23,2231
10-FEB-23,2196
11-FEB-23,8
13-FEB-23,1990
14-FEB-23,242
15-FEB-23,2197
16-FEB-23,1351
17-FEB-23,7
19-FEB-23,5
20-FEB-23,6
21-FEB-23,19
22-FEB-23,2
23-FEB-23,1330
24-FEB-23,1513
25-FEB-23,1
27-FEB-23,2708
28-FEB-23,5070
01-MAR-23,5639
02-MAR-23,5169
03-MAR-23,4511
04-MAR-23,45
05-MAR-23,6
06-MAR-23,8230
07-MAR-23,11020
08-MAR-23,11166
09-MAR-23,9335
10-MAR-23,1414
11-MAR-23,6210
12-MAR-23,7
13-MAR-23,7458
14-MAR-23,7155
15-MAR-23,5470
16-MAR-23,5034
17-MAR-23,4033
18-MAR-23,2581
20-MAR-23,5991
21-MAR-23,7048
22-MAR-23,6684
23-MAR-23,5853
24-MAR-23,5454
25-MAR-23,27
26-MAR-23,7
27-MAR-23,5254
28-MAR-23,5578
29-MAR-23,6235
30-MAR-23,5627
31-MAR-23,4406
01-APR-23,27
02-APR-23,22
03-APR-23,3715
